date,state,amount
2020-04-30,Confirmed,6135645
2020-04-30,Deaths,760598
2020-04-30,Recovered,1412497
2020-05-01,Confirmed,6343073
2020-05-01,Deaths,788834
2020-05-01,Recovered,1490746
2020-05-02,Confirmed,6552401
2020-05-02,Deaths,817544
2020-05-02,Recovered,1570660
2020-05-03,Confirmed,6763118
2020-05-03,Deaths,846428
2020-05-03,Recovered,1652314
2020-05-04,Confirmed,6975056
2020-05-04,Deaths,875507
2020-05-04,Recovered,1735193
2020-05-05,Confirmed,7188069
2020-05-05,Deaths,904822
2020-05-05,Recovered,1820424
2020-05-06,Confirmed,7402526
2020-05-06,Deaths,934506
2020-05-06,Recovered,1913669
2020-05-07,Confirmed,7618384
2020-05-07,Deaths,964464
2020-05-07,Recovered,2009945
2020-05-08,Confirmed,7835569
2020-05-08,Deaths,994665
2020-05-08,Recovered,2108968
2020-05-09,Confirmed,8053837
2020-05-09,Deaths,1025060
2020-05-09,Recovered,2211999
2020-05-10,Confirmed,8272907
2020-05-10,Deaths,1055620
2020-05-10,Recovered,2317185
2020-05-11,Confirmed,8492721
2020-05-11,Deaths,1086359
2020-05-11,Recovered,2423772
2020-05-12,Confirmed,8713937
2020-05-12,Deaths,1117270
2020-05-12,Recovered,2532811
2020-05-13,Confirmed,8936041
2020-05-13,Deaths,1148376
2020-05-13,Recovered,2645352
2020-05-14,Confirmed,9159137
2020-05-14,Deaths,1179744
2020-05-14,Recovered,2760640
2020-05-15,Confirmed,9383022
2020-05-15,Deaths,1211354
2020-05-15,Recovered,2880845
2020-05-16,Confirmed,9607782
2020-05-16,Deaths,1243117
2020-05-16,Recovered,3003655
2020-05-17,Confirmed,9833217
2020-05-17,Deaths,1275025
2020-05-17,Recovered,3128831
2020-05-18,Confirmed,10059103
2020-05-18,Deaths,1307032
2020-05-18,Recovered,3256157
2020-05-19,Confirmed,10285802
2020-05-19,Deaths,1339201
2020-05-19,Recovered,3385558
2020-05-20,Confirmed,10513166
2020-05-20,Deaths,1371531
2020-05-20,Recovered,3517840
2020-05-21,Confirmed,10741172
2020-05-21,Deaths,1404017
2020-05-21,Recovered,3652400
2020-05-22,Confirmed,10969830
2020-05-22,Deaths,1436633
2020-05-22,Recovered,3789120
2020-05-23,Confirmed,11199157
2020-05-23,Deaths,1469368
2020-05-23,Recovered,3927960
2020-05-24,Confirmed,11429015
2020-05-24,Deaths,1502153
2020-05-24,Recovered,4068439
2020-05-25,Confirmed,11659173
2020-05-25,Deaths,1535030
2020-05-25,Recovered,4210420
2020-05-26,Confirmed,11889728
2020-05-26,Deaths,1567985
2020-05-26,Recovered,4355078
2020-05-27,Confirmed,12120867
2020-05-27,Deaths,1601057
2020-05-27,Recovered,4502179
2020-05-28,Confirmed,12352599
2020-05-28,Deaths,1634199
2020-05-28,Recovered,4652783
2020-05-29,Confirmed,12584847
2020-05-29,Deaths,1667428
2020-05-29,Recovered,4805627
2020-05-30,Confirmed,12817511
2020-05-30,Deaths,1700768
2020-05-30,Recovered,4961260
2020-05-31,Confirmed,13050508
2020-05-31,Deaths,1734183
2020-05-31,Recovered,5118767
2020-06-01,Confirmed,13283705
2020-06-01,Deaths,1767658
2020-06-01,Recovered,5277122
2020-06-02,Confirmed,13517220
2020-06-02,Deaths,1801188
2020-06-02,Recovered,5437214
2020-06-03,Confirmed,13751056
2020-06-03,Deaths,1834789
2020-06-03,Recovered,5598152
2020-06-04,Confirmed,13985069
2020-06-04,Deaths,1868478
2020-06-04,Recovered,5760047
2020-06-05,Confirmed,14219600
2020-06-05,Deaths,1902252
2020-06-05,Recovered,5923828
2020-06-06,Confirmed,14454401
2020-06-06,Deaths,1936098
2020-06-06,Recovered,6088906
2020-06-07,Confirmed,14689399
2020-06-07,Deaths,1969997
2020-06-07,Recovered,6254743
2020-06-08,Confirmed,14924677
2020-06-08,Deaths,2003961
2020-06-08,Recovered,6421327
2020-06-09,Confirmed,15160238
2020-06-09,Deaths,2038004
2020-06-09,Recovered,6589973
2020-06-10,Confirmed,15396001
2020-06-10,Deaths,2072118
2020-06-10,Recovered,6759912
2020-06-11,Confirmed,15632143
2020-06-11,Deaths,2106285
2020-06-11,Recovered,6931250
2020-06-12,Confirmed,15868448
2020-06-12,Deaths,2140508
2020-06-12,Recovered,7104335
2020-06-13,Confirmed,16105099
2020-06-13,Deaths,2174809
2020-06-13,Recovered,7279200
2020-06-14,Confirmed,16342088
2020-06-14,Deaths,2209154
